Id,GaiaEDR3,Name,RAJ2000_deg,DEJ2000_deg,RAGdeg_deg,DEGdeg_deg,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,u_primemag,e_u_primemag,g_primemag,e_g_primemag,r_primemag,e_r_primemag,i_primemag,e_i_primemag,z_primemag,e_z_primemag
175718,3113277073955204736,L98-675,103.05557544231,-0.32787900501,103.055573470972,-0.327883473116041,17.316,0.008,15.314,0.0028,13.417,0.0022,12.319,0.0024,11.315,0.0024,18.12776,0.011274194250588378,14.4352,0.0030667246371332397,12.73026,0.0026602165325401617,11.20399,0.004192500447227168,9.877419999999999,0.006677519299859792
175825,3113277073955197952,L98-676,103.05718876918,-0.32226427449,103.057186376055,-0.322257469609223,14.936,0.005,14.256,0.0024,13.088,0.0022,12.393,0.0022,11.713,0.0024,15.6692,0.007684606951562325,13.668800000000001,0.0029421080877493266,12.707439999999998,0.002590335885556157,11.844559999999996,0.0039354415254199875,11.108479999999997,0.006169998379254244
175669,3113277073955208704,L98-S782,103.05341320038,-0.33082290543,103.053390894956,-0.330823844375044,19.587,0.0262,18.8,0.0034,17.735,0.0022,17.097,0.0026,16.522,0.0024,20.391359999999995,0.03397568542354959,18.253999999999998,0.003277804143020141,17.397699999999997,0.0027808200229428727,16.628549999999994,0.004616687123901727,15.975899999999996,0.007500047999846401
175841,3113277073955580160,L98-670,103.0479619503,-0.32121487988,103.047954178587,-0.321220500562101,14.633,0.0048,13.29,0.0026,11.942,0.0022,11.21,0.0024,10.554,0.0022,15.47984,0.00760528237477084,12.6308,0.00300266548253381,11.48584,0.0026241646289819546,10.45916,0.00406105897519354,9.577280000000002,0.006419009269349905
175715,3113277073955211776,L98-S432,103.04672918717,-0.32795405176,103.0467340505,-0.327964197655667,16.232,0.0052,16.144,0.0018,15.478,0.0012,15.065,0.0016,14.647,0.0016,17.00024,0.007261924813711582,15.7576,0.0017677103835187483,15.30828,0.0015051750728735842,14.90222,0.0024781162200348877,14.572760000000002,0.0040138340772881975
175930,3113277108314932480,L98-S449,103.05496286949,-0.31637484339,103.054968238279,-0.316377084696545,18.586,0.0098,18.279,0.0028,17.302,0.0018,16.711,0.0024,16.116,0.002,19.291159999999998,0.013320127326718766,17.7682,0.0026886427802889695,17.001659999999998,0.0022791472089358335,16.312589999999997,0.0037907598182950076,15.731219999999997,0.0061622710099443045
175675,3113277073955213440,L98-S431,103.04660391808,-0.33001960754,103.046603166205,-0.330019078732837,18.641,0.0168,18.094,0.0026,17.253,0.0018,16.772,0.0024,16.217,0.0022,19.467759999999995,0.021916605576594198,17.6376,0.0026153393661244037,17.00978,0.0022369622258768696,16.44447,0.003644859393721519,15.973259999999998,0.005881156348882419
175958,3113277108314930432,L98-S786,103.05724012057,-0.31520816379,103.057237524176,-0.315212029736332,20.872,0.0394,19.562,0.0048,18.268,0.0028,17.44,0.003,16.7,0.0024,21.731199999999998,0.0509910988310705,18.9244,0.004353940743740089,17.83452,0.003645165565512765,16.85698,0.006233695533148855,16.01884,0.010229497739380951
176002,3113277177034794752,L98-S784,103.05498451392,-0.31213817702,103.054989287871,-0.312135654543166,19.706,0.021,19.402,0.0052,18.24,0.0028,17.519,0.003,16.774,0.0026,20.336319999999997,0.028057682299149372,18.8172,0.004516281656407182,17.861959999999996,0.0037406993998449004,17.00453999999999,0.006548050091439436,16.27331999999999,0.01082505538092069
176057,3113277172732249600,L98-S439,103.05153861046,-0.308194863,103.051538284665,-0.308198308957468,18.456,0.0094,18.138,0.0032,17.169,0.0022,16.58,0.0024,15.987,0.002,19.16744,0.013107823617977167,17.6304,0.003204496840379157,16.87202,0.0027386332357583042,16.19023,0.004470778455705449,15.615339999999998,0.007218918478553419
