filter,ZP,ZP_error,Color_term,Color_term_error
g_prime,28.25225743483823,0.009047761689327078,0.13848364664047105,0.0075126372582082065
z_prime,26.45859582596778,0.01496277373434737,-1.0031780023147738,0.01504020489990434
i_prime,27.276242611422326,0.010835711917826238,-0.4316684849185862,0.009391454144807005
V,27.729017550137932,0.010534209662927159,-0.09735778830396663,0.0074209314978856385
B,27.61402413823144,0.013842644740186339,0.11201464806610383,0.010229948587749766
R,27.682136462096636,0.009454877013371596,-0.14458954199108603,0.011380406542506835
U,25.32456614150398,0.007608483993087899,0.1206720443934598,0.007065049440431541
r_prime,28.00851797912458,0.00826496093520478,-0.00770861621073522,0.006523297158261986
I,27.081691727595008,0.009457671097879008,0.14734432127871855,0.012100120952955418
u_prime,25.790586883971443,0.018252622192644553,0.10489822253913994,0.00764504406446918
